panel,symbol,predictor,target,kind,pred_family,rho_search,t_search,n_search,rho_hold,t_hold,n_hold
ETF,SPY,fc_vol x open15_vol_rel,rest15_eff_range,interaction,opening,0.06996890451481494,2.9600750420796684,1783,-0.019793915326488942,-0.5589152552591719,799
ETF,SPY,open15_vol_rel,rest15_eff_mfe,main,opening,0.010480479099948292,0.4497093149885872,1843,-0.008463304744554428,-0.23893770837036438,799
ETF,SPY,fc_vol x open15_vol_rel,rest15_eff_mfe,interaction,opening,-0.017702255819987755,-0.7471858355625138,1783,-0.03789481940474712,-1.0705847523159928,799
ETF,SPY,open15_vol_rel,rest15_eff_vol,main,opening,-0.0033651474582192384,-0.14438878194199303,1843,0.02158247621557021,0.6094409090826514,799
ETF,SPY,fc_vol x open15_vol_rel,rest15_eff_vol,interaction,opening,0.07742427142621294,3.2772886745663916,1783,-0.008233012129823934,-0.23243559442374645,799
ETF,SPY,open30_ret_pct,rest30_eff_range,main,opening,0.0048713764392962836,0.2101503080236273,1863,0.01290145356627003,0.3642536824310871,799
ETF,SPY,fc_vol x open30_ret_pct,rest30_eff_range,interaction,opening,0.0062001571411249715,0.2616634144179756,1783,0.014643892443607762,0.4134588210530367,799
ETF,SPY,open30_ret_pct,rest30_eff_mfe,main,opening,0.024960169485997587,1.077100044002826,1863,0.011907706741763203,0.3361925485606609,799
ETF,SPY,fc_vol x open30_ret_pct,rest30_eff_mfe,interaction,opening,0.026797673950599097,1.1313189225344988,1783,0.010788826919260452,0.3045991336644097,799
ETF,SPY,open30_ret_pct,rest30_eff_vol,main,opening,0.01607311206991455,0.6934725350592584,1863,0.018914926664174478,0.5340864085217383,799
ETF,SPY,fc_vol x open30_ret_pct,rest30_eff_vol,interaction,opening,0.017834307012583442,0.752761286375828,1783,0.020625758823445653,0.58241358272735,799
ETF,SPY,open30_absret_pct,rest30_eff_range,main,opening,0.04202387695666312,1.8144839256264345,1863,-0.03613843004105732,-1.020897684848301,799
ETF,SPY,fc_vol x open30_absret_pct,rest30_eff_range,interaction,opening,0.061229168155182534,2.5888443276163327,1783,-0.04494179807632895,-1.270043612985537,799
ETF,SPY,open30_absret_pct,rest30_eff_mfe,main,opening,0.03559900630993692,1.5366905655456953,1863,-0.04428068057841359,-1.251323623374363,799
ETF,SPY,fc_vol x open30_absret_pct,rest30_eff_mfe,interaction,opening,0.02677530751082698,1.1303739995624762,1783,-0.0449480444002144,-1.2702204898103417,799
ETF,SPY,open30_absret_pct,rest30_eff_vol,main,opening,0.057683336719772,2.492569602219259,1863,-0.025471265923753764,-0.719317486964111,799
ETF,SPY,fc_vol x open30_absret_pct,rest30_eff_vol,interaction,opening,0.07681513863633825,3.251351065354658,1783,-0.03770862566523842,-1.0653169945802343,799
ETF,SPY,open30_range_pct,rest30_eff_range,main,opening,0.06172551561918232,2.6678833254568803,1863,-0.016873935563685903,-0.47643908741165103,799
ETF,SPY,fc_vol x open30_range_pct,rest30_eff_range,interaction,opening,0.07374198852220777,3.1205478574948518,1783,-0.03465237347114094,-0.9788655659559682,799
ETF,SPY,open30_range_pct,rest30_eff_mfe,main,opening,-0.0007232264980630522,-0.031199499695770315,1863,-0.023448001536789425,-0.6621470017645804,799
ETF,SPY,fc_vol x open30_range_pct,rest30_eff_mfe,interaction,opening,-0.009159998058787805,-0.3865855012936149,1783,-0.02949824533366715,-0.8331330750712883,799
ETF,SPY,open30_range_pct,rest30_eff_vol,main,opening,0.07458851218897507,3.2266851550168374,1863,-0.006577888714276304,-0.18570563340117643,799
ETF,SPY,fc_vol x open30_range_pct,rest30_eff_vol,interaction,opening,0.08731971721243094,3.6991872404197874,1783,-0.028088399973651274,-0.7932819071538245,799
ETF,SPY,open30_closeloc,rest30_eff_range,main,opening,0.0035988891298788126,0.15525459645547685,1863,0.014739349200685911,0.4161545514894523,799
ETF,SPY,fc_vol x open30_closeloc,rest30_eff_range,interaction,opening,0.03924911374860284,1.657664306603402,1783,-0.00115286261436832,-0.03254670332545206,799
ETF,SPY,open30_closeloc,rest30_eff_mfe,main,opening,0.019911449968717666,0.8591365232493757,1863,0.021729348735059714,0.6135902134261368,799
ETF,SPY,fc_vol x open30_closeloc,rest30_eff_mfe,interaction,opening,0.0008113809713563861,0.03424182639103887,1783,0.00557053234254047,0.15726518825451663,799
ETF,SPY,open30_closeloc,rest30_eff_vol,main,opening,0.011748721254320275,0.506866702366503,1863,0.014067137877976593,0.39717131900354974,799
ETF,SPY,fc_vol x open30_closeloc,rest30_eff_vol,interaction,opening,0.0487076196510502,2.0579965622208682,1783,-0.008177750431564778,-0.2308753334349158,799
ETF,SPY,open30_vol_rel,rest30_eff_range,main,opening,-0.0023270591804475257,-0.09984710982765238,1843,-0.005886834611678805,-0.16619521691856676,799
