strategy,symbol,n_sessions,n_trades,gross_pnl,costs,net_pnl,expectancy_per_trade,expectancy_per_session,win_rate,avg_win,avg_loss,payoff_ratio,profit_factor,max_drawdown,max_dd_duration,sharpe,sortino,t_stat,consec_losing_days,time_in_market,exposure,return_vol,trades_per_session,median_holding_minutes,mean_mae,mean_mfe,exit_reason_mix,regime,contracts
breakout.opening_range.q95,ES,310,414,-12037.5,6739.92,-18777.42,-45.356086956521736,-60.57232258064516,0.09420289855072464,1010.6430769230772,-155.18,6.51271476300475,0.6773223353524941,-18777.420000000002,309,-1.2694823355591016,-1.6424032781329287,-1.4080148612749808,4,0.08289745070538734,0.08289745070538734,757.4392997507365,1.335483870967742,4.0,-128.95531400966183,278.6533816425121,forced_flatten:45|signal_flat:369,normal,1
breakout.range_expansion.q80,ES,310,2859,-7975.0,46544.520000000004,-54519.52,-19.069436866037062,-175.8694193548387,0.3578174186778594,203.97904203323557,-143.3497167755991,1.4229469483539068,0.7928511591318337,-55197.359999999986,305,-2.809979661417104,-4.107520899516441,-3.116619280419695,7,0.13158155267717184,0.13158155267717184,993.5447289313976,9.22258064516129,3.0,-100.0,141.22070654074852,forced_flatten:280|signal_flat:1313|signal_flip:1266,normal,1
breakout.range_expansion.q90,ES,310,1418,-5712.5,23085.04,-28797.539999999997,-20.30856135401973,-92.89529032258064,0.35895627644569816,229.8152848722986,-160.3669086908691,1.4330592685757977,0.802450129488538,-29375.860000000022,305,-1.9766352365377553,-2.5599473344768904,-2.192335970660992,13,0.06492038610675688,0.06492038610675688,746.0491393238369,4.574193548387097,3.0,-115.35613540197461,158.15409026798307,forced_flatten:243|signal_flat:585|signal_flip:590,normal,1
breakout.failed_reversal,ES,310,364,1450.0,5925.92,-4475.919999999998,-12.296483516483509,-14.43845161290322,0.4065934065934066,81.27067567567569,-76.4073148148148,1.0636504616429463,0.72879753853313,-4795.639999999998,290,-2.2021530361484674,-1.8942818664618584,-2.4424634473809177,4,0.003003052553419685,0.003003052553419685,104.08146479608939,1.1741935483870967,1.0,-36.675824175824175,40.65934065934066,forced_flatten:2|signal_flat:362,normal,1
breakout.compression_expansion,ES,310,3811,4425.0,62043.08,-57618.07999999994,-15.11888743112043,-185.86477419354821,0.2988716872212018,176.72921861281824,-96.8984505988024,1.8238601083989108,0.7774613261475897,-59138.099999999875,300,-3.689210276370811,-5.160384078899164,-4.0917961203538535,10,0.186667766685917,0.186667766685917,799.7678633060555,12.293548387096774,3.0,-65.95053791655734,97.78929414851746,forced_flatten:18|signal_flat:1739|signal_flip:2054,normal,1
revert.z_60.q90,ES,310,5078,13300.0,82669.84000000001,-69369.83999999994,-13.660858605750288,-223.77367741935464,0.5931469082315872,79.54088313413015,-149.53871248789932,0.5319083052862756,0.7754636086748607,-71155.71999999994,302,-3.934590406584186,-4.701387573793733,-4.363953408662918,10,0.1706377361603828,0.1706377361603828,902.8378142079445,16.38064516129032,2.0,-120.80297361165813,59.654391492713664,forced_flatten:111|signal_flat:4961|signal_flip:6,normal,1
revert.z_60.q95,ES,310,3270,14562.5,53235.600000000006,-38673.09999999996,-11.826636085626902,-124.75193548387085,0.5737003058103975,77.503315565032,-132.04398852223815,0.5869507308314857,0.7898992618650411,-38957.079999999965,309,-3.0944965904250865,-3.516027500436319,-3.432184178887641,8,0.08459698044715781,0.08459698044715781,639.966961771232,10.548387096774194,2.0,-103.12691131498471,56.59403669724771,forced_flatten:78|signal_flat:3189|signal_flip:3,normal,1
revert.vwap.q90,ES,310,2046,32237.5,33308.880000000005,-1071.37999999999,-0.5236461388074172,-3.4560645161290005,0.7673509286412512,121.44292993630575,-402.8083613445378,0.30149058855417066,0.9944122353572435,-20127.0,233,-0.04431459827075803,-0.03489663060405776,-0.04915043808717337,5,0.24560679811896707,0.24560679811896707,1238.041762509567,6.6,3.0,-267.5708699902248,107.93010752688173,forced_flatten:75|signal_flat:1971,normal,1
revert.vwap.q95,ES,310,1233,30512.5,20073.24,10439.259999999987,8.466553122465537,33.675032258064476,0.7550689375506894,140.09755102040816,-397.3230463576159,0.35260363652379606,1.0869999523299805,-11601.360000000011,95,0.48228202618171373,0.2895979427341663,0.5349111532856364,5,0.13173830542034487,0.13173830542034487,1108.4273007513707,3.97741935483871,3.0,-271.78629359286293,122.15125709651257,forced_flatten:44|signal_flat:1189,normal,1
revert.z_calm_only,ES,310,1752,737.5,28522.56,-27785.059999999987,-15.859052511415516,-89.62922580645157,0.5570776255707762,67.21129098360657,-120.33927835051546,0.5585149911555763,0.7024621538245392,-27841.98000000001,300,-3.8993646667155315,-4.435426973535031,-4.324883652554315,8,0.03824766933421335,0.03824766933421335,364.8850445478326,5.651612903225806,2.0,-86.10159817351598,48.98687214611872,signal_flat:1752,normal,1
session.late_day_continuation,ES,310,2908,-18737.5,47342.240000000005,-66079.73999999995,-22.723431911966973,-213.16045161290305,0.25068775790921594,259.2515500685871,-117.06017439192289,2.2146861767060155,0.740939065084298,-65881.75999999998,308,-3.8093514326737674,-5.712899443964277,-4.225047705497669,8,0.22593845392294368,0.22593845392294368,888.2922265737673,9.380645161290323,3.0,-87.28077716643742,150.61468363136177,forced_flatten:301|signal_flat:460|signal_flip:2147,normal,1
