variant,symbol,anchor,sigma,hold,tr_trades,tr_sessions,tr_bps_per_trade,tr_bps_per_day,tr_win_rate,tr_profit_factor,tr_sharpe,tr_t_stat,tr_max_dd_bps,tr_trades_per_day,tr_median_bars,tr_pct_reversion,tr_mfe_mae,va_trades,va_sessions,va_bps_per_trade,va_bps_per_day,va_win_rate,va_profit_factor,va_sharpe,va_t_stat,va_max_dd_bps,va_trades_per_day,va_median_bars,va_pct_reversion,va_mfe_mae
vwap.2sd.60m,QQQ,vwap,2.0,60,6481,1492,-1.3460844742975464,-5.847167210403751,0.5222959419842617,0.8756650007296707,-1.5465821430094093,-3.7631985493033993,-9064.74077907454,4.343833780160858,60.0,0.3135318623669187,0.7551047517614211,2196,498,-1.979377790561943,-8.728340618622541,0.4949908925318761,0.8760961881203013,-1.5898592937524243,-2.2349771685009894,-4611.89923635518,4.409638554216867,60.0,0.31375227686703094,0.7868565523565021
vwap.2sd.60m,IWM,vwap,2.0,60,6485,1494,-0.7077856844928744,-3.0722825729158565,0.5315343099460293,0.9426491161609591,-0.7350038998919931,-1.789635853364837,-5240.327330794801,4.340696117804551,60.0,0.32012336160370086,0.7794972161908507,2140,498,-2.311573488529676,-9.933267601312261,0.49906542056074765,0.8542204038013058,-1.9871799657177838,-2.7935188167497254,-5056.536543152703,4.2971887550200805,60.0,0.2957943925233645,0.7685362234963076
vwap.2sd.60m,DIA,vwap,2.0,60,6348,1427,-0.7761006116977467,-3.4524784043849315,0.5346565847511027,0.9081256072142752,-1.0923792173517783,-2.599472008259389,-5183.240100867253,4.448493342676945,60.0,0.32608695652173914,0.7689044234853863,2212,498,-1.5996413951611828,-7.105234470073366,0.5081374321880651,0.8554396670448181,-2.003752761495281,-2.816816362844835,-3824.7018070817894,4.4417670682730925,60.0,0.32007233273056057,0.7748415118749774
vwap.2.5sd.30m,SPY,vwap,2.5,30,8885,1496,-0.8508279679166993,-5.053212897687081,0.4811480022509848,0.8622960815953884,-1.8573598534422808,-4.52544801573578,-7780.132078498626,5.939171122994653,30.0,0.1280810354530107,0.8797401483333717,3052,498,-1.3336151009080481,-8.173078891508759,0.47182175622542594,0.8496519968979793,-2.2588306203791553,-3.175397271882407,-4116.495683374117,6.128514056224899,30.0,0.13237221494102228,0.881000664211283
vwap.2.5sd.30m,QQQ,vwap,2.5,30,8922,1491,-0.8703622283924094,-5.2081635155714805,0.49069715310468504,0.8908217456333557,-1.5326273361480252,-3.727993262210935,-8418.777175733107,5.983903420523139,30.0,0.11331540013449899,0.8780007499338525,3042,498,-1.6303004814255202,-9.958582458828179,0.46679815910585143,0.8585709538352987,-2.0676180641774704,-2.9065963162753086,-4930.002952747503,6.108433734939759,30.0,0.11406969099276791,0.8944545410319487
vwap.2.5sd.30m,IWM,vwap,2.5,30,8880,1493,-0.5553828861671599,-3.303282002119478,0.4894144144144144,0.9380629236010452,-0.9047542988607544,-2.202217902201163,-6188.1202687789255,5.9477561955793705,30.0,0.11463963963963963,0.8990215851597155,3002,498,-1.3493432855267125,-8.133993058536527,0.4810126582278481,0.8790475453319069,-1.8612424513183292,-2.6164795841291957,-4181.211683324928,6.028112449799197,30.0,0.11359093937375084,0.896224405240816
vwap.2.5sd.30m,DIA,vwap,2.5,30,8703,1427,-0.6992051081024564,-4.264318189078962,0.49235895668160407,0.8881535180042354,-1.5490752031856259,-3.6862451842792785,-6310.913683968403,6.098808689558514,30.0,0.11984373204642078,0.8961828113369312,3020,498,-1.4569713880962651,-8.835448980021527,0.47152317880794703,0.8200059382877115,-2.7355512858696422,-3.845557082445964,-4540.841968071054,6.06425702811245,30.0,0.11456953642384106,0.8771278232833822
vwap.2.5sd.60m,SPY,vwap,2.5,60,5649,1496,-1.0247770099275932,-3.869629230669101,0.5133651973800673,0.878009334373912,-1.3198476895907711,-3.215802310393601,-6099.850132708168,3.7760695187165774,60.0,0.29668967958930786,0.7756888713045031,1921,498,-2.5959250960352693,-10.01359861342119,0.491410723581468,0.7981198694143936,-2.6453639729969978,-3.718774425671934,-5070.894657444289,3.857429718875502,60.0,0.28735033836543467,0.7585233989983923
vwap.2.5sd.60m,QQQ,vwap,2.5,60,5566,1491,-1.2142663400072964,-4.532935243783106,0.5053898670499462,0.8889560835330735,-1.2510737121590596,-3.0431366187035933,-7307.473874603209,3.733065057008719,60.0,0.26841537908731583,0.7839247050871688,1896,498,-2.6697279534247933,-10.164265461231743,0.4868143459915612,0.8363137556616991,-2.012287819242568,-2.828814694566381,-5083.535712904012,3.8072289156626504,60.0,0.26371308016877637,0.7974927673422153
vwap.2.5sd.60m,IWM,vwap,2.5,60,5541,1493,-0.7406129044747575,-2.748651107632038,0.5145280635264393,0.9395241230553509,-0.7162134218998196,-1.7432998345413604,-5269.613138045028,3.711319490957803,60.0,0.265114600252662,0.7916389219219213,1862,498,-2.054067309790242,-7.680066929376368,0.48281417830290013,0.8693024639676342,-1.6246195620507573,-2.2838421254962595,-3985.97557334743,3.7389558232931726,60.0,0.25241675617615467,0.8041718612076741
