symbol,mechanism,arm,ctrl_pctile,n,trades,net,per_trade,per_session,t,win_rate,profit_factor,max_dd,max_consec_losses,mean_mae,mean_mfe
MES,revert.vwap.q90,vol-gated,,66,547,205.16000000000014,0.37506398537477176,3.1084848484848506,0.16164354755767008,0.6212121212121212,1.0602232098301558,-1308.9299999999998,4,-114.58712121212122,74.52909090909091
MES,revert.vwap.q90,vol+prev_rv_pct,0.725,62,530,267.1500000000001,0.5040566037735851,4.308870967741937,0.2121558173375043,0.6290322580645161,1.081838149474477,-1308.9299999999998,4,-118.81911290322579,77.55645161290323
MNQ,trend.ret_30.q80,baseline,,150,3303,-7551.160000000002,-2.2861519830457167,-50.34106666666668,-2.223828667414193,0.35333333333333333,0.6121372627980177,-7382.759999999999,7,-199.594,195.86373333333333
MNQ,trend.ret_30.q80,vol-gated,,83,1794,-2700.1800000000003,-1.5051170568561874,-32.53228915662651,-0.9425094097900819,0.40963855421686746,0.756546216168942,-3827.6799999999994,5,-215.13253012048187,236.56313253012047
MNQ,trend.ret_30.q80,vol+prev_rv_pct,0.6,78,1694,-3266.680000000001,-1.9283825265643455,-41.880512820512834,-1.1774714668900506,0.3974358974358974,0.695416724164295,-4041.64,5,-217.8358974358974,231.6230769230769
MNQ,breakout.range_expansion.q80,baseline,,150,1420,-1851.3999999999999,-1.3038028169014084,-12.342666666666666,-0.6586527898187337,0.43333333333333335,0.846478898933462,-3678.4400000000005,9,-123.35133333333336,125.79599999999999
MNQ,breakout.range_expansion.q80,vol-gated,,83,789,1339.9199999999998,1.698250950570342,16.143614457831323,0.5354693017609854,0.5421686746987951,1.2023669282490899,-2056.28,4,-125.78963855421685,164.44457831325303
MNQ,breakout.range_expansion.q80,vol+prev_rv_pct,0.95,78,729,2053.6200000000003,2.8170370370370375,26.328461538461543,0.8997037629736759,0.5384615384615384,1.3760382333553063,-942.8200000000002,3,-116.44846153846153,168.82769230769236
MNQ,revert.vwap.q90,baseline,,150,917,2404.2599999999998,2.6218756815703377,16.028399999999998,0.7750964420126262,0.5066666666666667,1.2253817670494491,-2313.2,5,-179.48306666666667,115.8788
MNQ,revert.vwap.q90,vol-gated,,83,664,736.9200000000002,1.109819277108434,8.878554216867473,0.2523562177457196,0.5542168674698795,1.0820214414189804,-2775.6800000000003,4,-267.22072289156625,152.8544578313253
MNQ,revert.vwap.q90,vol+prev_rv_pct,0.675,78,635,1855.7999999999997,2.9225196850393695,23.792307692307688,0.7099562814905369,0.5512820512820513,1.2469533372899804,-1953.64,4,-259.04333333333335,155.4294871794872
