symbol,strategy,family,kind,evaluable,gate_on,base_trades,base_net,base_per_trade,base_per_session,base_t,base_win,base_pf,base_mdd,base_consec,gated_trades,gated_net,gated_per_trade,gated_per_session,gated_t,gated_win,gated_pf,gated_mdd,gated_consec,anti_trades,anti_net,anti_per_trade,ctrl_pt_p05,ctrl_pt_p50,ctrl_pt_p95,ctrl_pt_pctile,ctrl_net_p50,ctrl_net_pctile
NQ,trend.ret_60.q90,A.trend,trend,210,132,3329,-73188.62,-21.98516671673175,-348.5172380952381,-2.8139397224893656,0.3761904761904762,0.5998457088807606,-76451.69999999998,9,2077,-30251.06000000001,-14.564785748675979,-229.17469696969704,-1.3104927490915674,0.4393939393939394,0.7399618922133822,-46167.0,6,1252,-42937.56000000001,-34.29517571884985,-30.003057522808987,-23.341900713749382,-17.48477652913882,1.0,-48687.46000000001,1.0
NQ,trend.ma_agree.30_120,A.trend,trend,210,132,4456,-145743.68,-32.70728904847397,-694.0175238095238,-3.1418527867815285,0.36666666666666664,0.5622225962890728,-153892.38000000012,9,2771,-84564.38,-30.51763984121256,-640.6392424242424,-1.9628335308093268,0.4166666666666667,0.6454610888543535,-103022.38000000002,7,1685,-61179.3,-36.30818991097923,-43.03514112135117,-34.14347811534468,-21.64609053773522,0.625,-95888.63,0.625
NQ,trend.multi_horizon_agree,A.trend,trend,210,132,5676,-103810.28,-18.289337561663142,-494.33466666666664,-2.002307422393559,0.37142857142857144,0.6765012796254817,-126569.51999999996,13,3533,-24259.739999999998,-6.866611944523068,-183.7859090909091,-0.5019889946399017,0.44696969696969696,0.8858326064064689,-65935.87999999999,8,2143,-79550.54,-37.121110592627154,-27.705011660768655,-17.393318370656722,-8.226192418139966,0.95,-62433.31,0.95
NQ,trend.accel_confirm,A.trend,trend,210,132,7211,-163152.58,-22.62551379836361,-776.9170476190476,-3.5311223429839442,0.36666666666666664,0.5207668994775487,-170632.39999999994,11,4566,-119069.48,-26.07741568112133,-902.0415151515151,-2.8385476486689196,0.3560606060606061,0.5280605252039058,-136658.92000000004,8,2645,-44083.099999999984,-16.666578449905476,-31.89107696509296,-24.139044886153343,-18.628089239732688,0.3,-110074.3,0.3
NQ,breakout.opening_range.q90,B.breakout,breakout,210,132,628,-62568.84,-99.63191082802547,-297.94685714285714,-2.034127833055338,0.1523809523809524,0.5618585664155461,-71326.53999999998,5,408,-42417.24,-103.96382352941175,-321.34272727272725,-1.4790460352161099,0.17424242424242425,0.6058376253860804,-55238.479999999996,5,220,-20151.600000000006,-91.59818181818184,-113.16873755876566,-75.94179543542566,-47.76333663366341,0.1,-30718.46,0.125
NQ,breakout.opening_range.q95,B.breakout,breakout,210,132,313,-22213.14,-70.96849840255591,-105.77685714285714,-1.0652172885363094,0.07142857142857142,0.646468061050362,-42704.26,3,215,-15012.699999999999,-69.82651162790697,-113.73257575757575,-0.754841509826709,0.06818181818181818,0.6813573898843117,-34513.94,3,98,-7200.440000000001,-73.47387755102042,-86.22498381877023,-32.60864501632255,17.354521329589655,0.225,-6658.619999999999,0.225
NQ,breakout.range_expansion.q80,B.breakout,breakout,210,132,1893,-10055.539999999999,-5.311959852086635,-47.88352380952381,-0.3265586484692103,0.45714285714285713,0.9320253702441103,-35115.67999999999,7,1265,14343.300000000003,11.338577075098817,108.66136363636366,0.5069514183400611,0.5,1.142980666363891,-26407.82,5,628,-24398.84,-38.85165605095541,-19.757725480481408,0.7392296346118736,13.94630699898371,0.875,860.6900000000073,0.875
NQ,breakout.range_expansion.q90,B.breakout,breakout,210,132,881,-7810.1800000000085,-8.865130533484686,-37.191333333333375,-0.3463319508984416,0.38571428571428573,0.9186524998208521,-22062.96,11,582,7070.039999999999,12.14783505154639,53.560909090909085,0.32881895648430504,0.42424242424242425,1.104061587626426,-16565.440000000002,6,299,-14880.220000000001,-49.7666220735786,-32.12988471905922,-8.540534686729336,15.56943610311258,0.9,-4732.9000000000015,0.9
NQ,breakout.failed_reversal,B.breakout,breakout,210,132,285,437.6999999999998,1.53578947368421,2.0842857142857136,0.10849337415380625,0.09523809523809523,1.0423680415065482,-6238.719999999999,2,199,1052.7800000000007,5.290351758793973,7.975606060606066,0.3029925496509693,0.10606060606060606,1.1589730580244566,-3863.5,2,86,-615.0799999999995,-7.152093023255808,-4.54805337519623,10.033174212180413,21.28839808558557,0.3,1788.5599999999997,0.325
NQ,breakout.compression_expansion,B.breakout,breakout,210,132,1689,-824.4199999999928,-0.488111308466544,-3.9258095238094897,-0.03301075972521507,0.49047619047619045,0.9943073055164077,-21847.46,7,685,12135.699999999993,17.716350364963493,91.93712121212116,0.5678273080990534,0.5,1.1332973207850323,-24978.120000000003,9,1004,-12960.119999999999,-12.90848605577689,-11.70993601072928,3.185920888704318,22.25843396105353,0.875,2966.429999999999,0.825
NQ,revert.z_60.q90,C.reversion,reversion,210,132,3398,-24029.439999999995,-7.071642142436726,-114.42590476190473,-0.9549424365876679,0.49047619047619045,0.8381255703293087,-27663.519999999986,7,2128,-30118.839999999997,-14.153590225563908,-228.1730303030303,-1.3636491391215637,0.48484848484848486,0.7275142662450998,-34825.159999999974,4,1270,6089.4000000000015,4.794803149606301,-11.00922673464604,-5.941387986243395,0.16429705789821236,0.0,-12804.009999999998,0.0
NQ,revert.z_60.q95,C.reversion,reversion,210,132,2160,9830.2,4.551018518518519,46.810476190476194,0.5376158168507182,0.5571428571428572,1.1085884539351305,-10238.28,4,1339,-2106.4199999999983,-1.57312920089619,-15.95772727272726,-0.12583014873025183,0.5378787878787878,0.970875026789356,-18217.059999999998,4,821,11936.619999999999,14.539123020706453,-1.7926776413856167,6.5416000051753596,15.966928952442563,0.075,8909.140000000001,0.075
NQ,revert.vwap.q90,C.reversion,reversion,210,132,1666,42547.51999999999,25.538727490996393,202.60723809523805,0.9731370691111422,0.5904761904761905,1.2506621282885197,-26863.48,6,1245,15848.899999999998,12.730040160642568,120.06742424242422,0.3734384266191652,0.6136363636363636,1.1054781640387803,-32868.53999999999,6,421,26698.62,63.417149643705464,-6.868181045886987,23.97038640051833,47.60772850148394,0.2,27518.239999999998,0.25
NQ,revert.vwap.q95,C.reversion,reversion,210,132,1021,10900.619999999999,10.6764152791381,51.90771428571428,0.2972176328464632,0.46190476190476193,1.087991136164108,-25508.26,4,872,2663.8399999999992,3.0548623853211,20.180606060606056,0.07341235873939919,0.553030303030303,1.0229069889431024,-29902.340000000004,4,149,8236.780000000002,55.280402684563775,-27.66680890223525,0.4577972269276548,24.08184843257077,0.575,343.8799999999924,0.575
NQ,revert.z_calm_only,C.reversion,reversion,210,132,1103,2210.6600000000008,2.004224841341796,10.526952380952384,0.19014881269675432,0.5571428571428572,1.0359252341187182,-7882.159999999999,5,694,1536.6800000000003,2.2142363112391936,11.641515151515154,0.14257858292159617,0.5606060606060606,1.0322213769717425,-8428.68,4,409,673.9800000000002,1.6478728606356974,-8.889759963768116,5.486446190664635,17.059320704768307,0.225,3998.7700000000027,0.225
NQ,session.late_day_continuation,D.session,session,210,132,1819,-4860.819999999992,-2.6722484881803146,-23.14676190476187,-0.16859789567058228,0.48095238095238096,0.9687824806522569,-36589.219999999994,8,1192,-5655.759999999997,-4.744765100671138,-42.84666666666664,-0.21314088535825193,0.5075757575757576,0.9520420718093608,-28032.5,5,627,794.9400000000005,1.267846889952154,-16.389358565989287,1.32884785163528,16.271432450025824,0.3,1551.4300000000005,0.3
NQ,session.late_day_fade,D.session,session,210,132,1819,-45270.81999999999,-24.887751511819676,-215.5753333333333,-1.630292001457919,0.44761904761904764,0.7339781284269455,-50370.87999999999,8,1192,-27195.76,-22.815234899328857,-206.02848484848482,-1.0622140698147284,0.45454545454545453,0.7819898420286185,-29928.02,6,627,-18075.059999999998,-28.82784688995215,-43.83143245002583,-28.888847851635276,-11.17064143401072,0.7,-34059.60999999999,0.7
NQ,session.opening_drive,D.session,session,210,132,1990,-45157.19999999999,-22.69206030150753,-215.03428571428566,-0.8893304371213471,0.47619047619047616,0.8447513168249332,-59540.700000000004,8,1264,-32297.91999999999,-25.55215189873417,-244.68121212121204,-0.7146130814742052,0.45454545454545453,0.8439065354598082,-65702.52000000002,12,726,-12859.279999999999,-17.71250688705234,-37.97382601344335,-16.701618003522203,13.539585001820146,0.3,-20716.59,0.3
NQ,session.midday_reversion,D.session,session,210,132,1507,18203.54,12.079323158593231,86.68352380952382,1.157788409897509,0.5714285714285714,1.2494582874483298,-11824.86000000002,5,955,15215.100000000006,15.93204188481676,115.26590909090913,1.1084681182225558,0.5378787878787878,1.3043581236379989,-9752.14,5,552,2988.440000000002,5.413840579710149,12.127261941610746,22.3921394391849,28.941720278243423,0.175,21607.300000000003,0.175
NQ,vol.expansion_trend,E.volatility,volatility,210,132,3684,-40630.520000000004,-11.028914223669926,-193.4786666666667,-0.7466590133956752,0.4523809523809524,0.8698557233184108,-59015.43999999999,8,2451,-12799.779999999992,-5.222268461852302,-96.96803030303023,-0.26454124450806094,0.45454545454545453,0.9396910545784605,-62816.02,6,1233,-27830.739999999998,-22.57156528791565,-21.396662792438903,-6.26035964644139,11.941229581545345,0.6,-14587.4,0.575
NQ,vol.contraction_revert,E.volatility,volatility,210,132,2267,-4014.2599999999993,-1.7707366563740623,-19.115523809523808,-0.2260531383240015,0.5142857142857142,0.95796741313828,-21197.520000000004,5,1395,-7053.099999999998,-5.055985663082436,-53.43257575757574,-0.44134518462230565,0.5075757575757576,0.8995734101840488,-16089.22,5,872,3038.84,3.484908256880734,-7.011685626375897,-0.5043734685339762,7.515748037192218,0.2,-713.7600000000002,0.2
NQ,vol.vol_of_vol_shock,E.volatility,volatility,210,132,927,-13684.06,-14.761661272923408,-65.16219047619047,-0.5421150636306667,0.3047619047619048,0.8711840901564328,-51054.84000000001,5,758,234.75999999999658,0.309709762532977,1.7784848484848226,0.009648479212149322,0.4090909090909091,1.0027490401311148,-40779.76,5,169,-13918.82,-82.35988165680473,-34.61638728543217,-12.132031572033608,7.681280799997765,0.75,-7867.860000000001,0.75
NQ,volume.heavy_continuation.q80,F.volume,volume,210,132,5530,-82523.4,-14.922857142857142,-392.9685714285714,-3.031746206699754,0.37142857142857144,0.5586632303857365,-80831.1,9,3537,-46284.85999999999,-13.085908962397511,-350.6428787878787,-1.8059437983703206,0.3787878787878788,0.6524549586721629,-54590.02000000001,9,1993,-36238.54,-18.182910185649774,-20.611121337152344,-14.089323584984612,-9.645922151539631,0.65,-48357.20999999999,0.65
NQ,volume.heavy_continuation.q90,F.volume,volume,210,132,2863,-28347.14,-9.901201536849458,-134.98638095238096,-1.4038925188202707,0.38095238095238093,0.7583795356566355,-27424.86,13,1776,-8038.280000000002,-4.526058558558559,-60.896060606060615,-0.42016314510376057,0.4166666666666667,0.9032412218963338,-18112.879999999997,13,1087,-20308.860000000004,-18.68340386384545,-19.98952211539574,-8.451132642833278,-1.4636732067006235,0.7,-15091.64,0.7
NQ,volume.climax_reversion,F.volume,volume,210,132,665,-10323.7,-15.52436090225564,-49.160476190476196,-0.7383613156860318,0.5380952380952381,0.8552951677497888,-14405.000000000015,6,399,-12653.220000000001,-31.71233082706767,-95.85772727272729,-1.0064554100427894,0.5075757575757576,0.7632976942270184,-20280.54,6,266,2329.5200000000004,8.757593984962408,-26.73336905575335,-6.02572939645907,13.306605859094185,0.0,-2531.9899999999975,0.025
MES,trend.ret_15.q80,A.trend,trend,150,66,3298,-9377.310000000001,-2.8433323226197698,-62.51540000000001,-5.980636603110345,0.25333333333333335,0.26727916155190734,-9321.570000000005,16,1429,-3483.3799999999997,-2.437634709587124,-52.778484848484844,-2.7385727634143984,0.30303030303030304,0.3946169714685933,-4026.1699999999996,8,1869,-5893.93,-3.1535205992509363,-3.8477251916510062,-3.123096325553692,-2.3092215672676835,0.85,-4569.965,0.9
