panel,symbol,predictor,target,kind,rho_search,t_search,n_search,rho_hold,t_hold,n_hold,scale_free
ETF,QQQ,fc_vol x prev_eff_vol,cost_opp_usd,interaction,0.361690636913261,16.363281710541482,1781,0.0636663212850562,1.7998995311959238,798,False
ETF,QQQ,prev_closeloc,eff_range,main,-0.03228675270949825,-1.3924310593244695,1860,0.033802512477773286,0.9542315509456964,798,True
ETF,QQQ,fc_vol x prev_closeloc,eff_range,interaction,0.018487927925215114,0.7799207011225617,1781,0.0331165435554077,0.9348454386643236,798,True
ETF,QQQ,prev_closeloc,eff_mfe,main,0.042540930418330215,1.8353680745900784,1860,0.027531880146073207,0.7770644934819366,798,True
ETF,QQQ,fc_vol x prev_closeloc,eff_mfe,interaction,0.028863552815975958,1.2179199465133708,1781,0.007761622003769608,0.21898890111130562,798,True
ETF,QQQ,prev_closeloc,cost_opp_usd,main,-0.1025772977506888,-4.444992780764324,1860,-0.10070048525818417,-2.855626073831997,798,False
ETF,QQQ,fc_vol x prev_closeloc,cost_opp_usd,interaction,0.24943982985706403,10.864339926000321,1781,0.06497041680856032,1.836922099298903,798,False
ETF,QQQ,prev_streak,eff_range,main,-0.04443305055376545,-1.9176748048143135,1861,0.013585598801873601,0.3833322880115492,798,True
ETF,QQQ,fc_vol x prev_streak,eff_range,interaction,-0.029937240108361147,-1.2632649238173455,1781,0.024585819018237476,0.6938610536602207,798,True
ETF,QQQ,prev_streak,eff_mfe,main,0.03985528799964793,1.7197718941779299,1861,0.02206750508823822,0.6227525868864572,798,True
ETF,QQQ,fc_vol x prev_streak,eff_mfe,interaction,0.04532622875469215,1.9137453173724717,1781,0.03400479252580298,0.9599484275663969,798,True
ETF,QQQ,prev_streak,cost_opp_usd,main,-0.10901593478646285,-4.728526380989595,1861,-0.11413142077046334,-3.241222890018109,798,False
ETF,QQQ,fc_vol x prev_streak,cost_opp_usd,interaction,-0.05949288559615456,-2.513754975490663,1781,-0.08891013932915974,-2.5184376137877056,798,False
ETF,QQQ,trail_eff_5,eff_range,main,-0.02975399829457874,-1.2817181208116388,1856,-0.08811618999178451,-2.4957717000907813,798,True
ETF,QQQ,fc_vol x trail_eff_5,eff_range,interaction,0.06001507860369365,2.535898625130348,1781,-0.04789036691615504,-1.3527056210935557,798,True
ETF,QQQ,trail_eff_5,eff_mfe,main,-0.057391756713145496,-2.475259900885263,1856,-0.04531495600609328,-1.2798069225852147,798,True
ETF,QQQ,fc_vol x trail_eff_5,eff_mfe,interaction,-0.03797956682526873,-1.6030661020572101,1781,-0.0813234961765125,-2.302043100518458,798,True
ETF,QQQ,trail_eff_5,cost_opp_usd,main,0.1948049959666059,8.551767888420411,1856,-0.016771164330968202,-0.47323933373357335,798,False
ETF,QQQ,fc_vol x trail_eff_5,cost_opp_usd,interaction,0.6505950975002001,36.13382923945252,1781,0.2582227325729565,7.541113596708107,798,False
ETF,QQQ,trail_eff_20,eff_range,main,0.00010410560243298489,0.004464419214428016,1841,-0.07120998067425606,-2.0141941330638784,798,True
ETF,QQQ,fc_vol x trail_eff_20,eff_range,interaction,0.07648897749073957,3.2356459480734303,1781,-0.02943794695114632,-0.830906797771146,798,True
ETF,QQQ,trail_eff_20,eff_mfe,main,-0.08433660987529601,-3.6295853916362066,1841,-0.043687205484417194,-1.2337456553743562,798,True
ETF,QQQ,fc_vol x trail_eff_20,eff_mfe,interaction,-0.03419842162158783,-1.4432718649971614,1781,-0.0835799748123843,-2.36636100093592,798,True
ETF,QQQ,trail_eff_20,cost_opp_usd,main,0.42383378911704545,20.067020814369442,1841,0.051846894439106554,1.4647509260536495,798,False
ETF,QQQ,fc_vol x trail_eff_20,cost_opp_usd,interaction,0.7096715922644612,42.485847034689264,1781,0.32486387934771765,9.691179956921784,798,False
ETF,QQQ,eff_state,eff_range,main,-0.02244483190493237,-0.9627569042143175,1841,-0.048027659880271995,-1.356592534824874,798,True
ETF,QQQ,fc_vol x eff_state,eff_range,interaction,-0.03483286008094794,-1.4700792247296985,1781,-0.04465085276369805,-1.2610132497824877,798,True
ETF,QQQ,eff_state,eff_mfe,main,-0.015352170914474323,-0.6584333903457905,1841,-0.02071828568170487,-0.584660267533426,798,True
ETF,QQQ,fc_vol x eff_state,eff_mfe,interaction,-0.024033169182611166,-1.0139685312013325,1781,-0.023793350611608415,-0.6714831284083376,798,True
ETF,QQQ,eff_state,cost_opp_usd,main,-0.010220639220167284,-0.4383203231986758,1841,-0.03356917803468832,-0.9476371549687778,798,False
