feature,outcome,n,r,t,passes
dispersion,rth_ret_DIA,2571,-0.004970812380711689,-0.25195024734029026,False
dispersion,rth_range_DIA,2571,0.28328439998405314,14.971655496230325,True
dispersion,rth_spread_SPY_QQQ,2571,-0.015205737480130158,-0.7707965352895004,False
dispersion,rth_spread_SPY_IWM,2571,-0.011815901563518529,-0.5989343696643705,False
dispersion,rth_spread_SPY_DIA,2571,-0.01104080360620801,-0.5596405936073311,False
dispersion,rth_spread_QQQ_IWM,2571,-0.0008774023839606511,-0.044471423319375876,False
dispersion,rth_spread_QQQ_DIA,2571,0.005148483638129943,0.2609559148132033,False
dispersion,rth_spread_IWM_DIA,2571,0.006160203159082583,0.3122376917637856,False
leader_spread,rth_ret_SPY,2571,-0.01014264013004604,-0.5141092388927012,False
leader_spread,rth_range_SPY,2571,0.2775088235108067,14.640658828908466,True
leader_spread,rth_ret_QQQ,2571,-0.0022005877537516877,-0.11153772844098706,False
leader_spread,rth_range_QQQ,2571,0.2854235034015797,15.09469362488835,True
leader_spread,rth_ret_IWM,2571,-0.001549575471197527,-0.07854079748861924,False
leader_spread,rth_range_IWM,2571,0.33091132831729936,17.773677174645798,True
leader_spread,rth_ret_DIA,2571,-0.005652966586153687,-0.2865269057706908,False
leader_spread,rth_range_DIA,2571,0.28310125908276407,14.96113282493216,True
leader_spread,rth_spread_SPY_QQQ,2571,-0.013506281180885656,-0.6846324100676888,False
leader_spread,rth_spread_SPY_IWM,2571,-0.010586396535361703,-0.5366047922905891,False
leader_spread,rth_spread_SPY_DIA,2571,-0.013285232409042818,-0.6734254694594459,False
leader_spread,rth_spread_QQQ_IWM,2571,-0.000851524569295793,-0.04315979695647307,False
leader_spread,rth_spread_QQQ_DIA,2571,0.0030560094655924146,0.15489549083834642,False
leader_spread,rth_spread_IWM_DIA,2571,0.004043685565333457,0.20495710617495005,False
mean_on,rth_ret_SPY,2571,-0.038923886773546613,-1.974365234691587,False
mean_on,rth_range_SPY,2571,-0.15233370031138918,-7.812255769359045,True
mean_on,rth_ret_QQQ,2571,-0.04683642425878885,-2.3765264480820427,False
mean_on,rth_range_QQQ,2571,-0.1450411732320173,-7.430023791192486,True
mean_on,rth_ret_IWM,2571,-0.05785480004707283,-2.9373080712844515,False
mean_on,rth_range_IWM,2571,-0.14303276824158212,-7.324975016360625,True
mean_on,rth_ret_DIA,2571,-0.03310266838808428,-1.6787388187886787,False
mean_on,rth_range_DIA,2571,-0.14958399520799703,-7.66798251235555,True
mean_on,rth_spread_SPY_QQQ,2571,0.042213380241333656,2.1415068938214286,False
mean_on,rth_spread_SPY_IWM,2571,0.0505514820495241,2.565497314529084,False
mean_on,rth_spread_SPY_DIA,2571,-0.02049754947210679,-1.0391428384667554,False
mean_on,rth_spread_QQQ_IWM,2571,0.016500967030731548,0.8364704091138424,False
mean_on,rth_spread_QQQ_DIA,2571,-0.0366007112355505,-1.8563619797290278,False
mean_on,rth_spread_IWM_DIA,2571,-0.055807596869784044,-2.8330401650130237,False
