strategy,symbol,family,newly_added,trades,net_pnl,expectancy_trade,expectancy_session,stressed_expectancy_trade,profit_factor,win_rate,max_dd,dd_over_mll,sharpe,sortino,t_stat,consec_losing_days,median_hold_min,trades_per_session,time_in_market,mc_prob_dd_exceeds_mll,best_twin_pass,dll_breach_rate,verdict
breakout.range_expansion.q90,NQ,breakout,False,1409,-29156.02000000001,-20.69270404542227,-94.05167741935487,-25.69270404542228,0.8879583430973265,0.3832505322924059,-34282.140000000014,17.141070000000006,-1.0582452593360654,-1.5133196158158004,-1.1737264948730015,11,3.0,4.54516129032258,0.0636416137282402,,,,REJECT
breakout.failed_reversal,NQ,breakout,False,470,188.4000000000065,0.4008510638297954,0.6077419354838918,-4.599148936170197,1.005602810683882,0.4872340425531914,-6238.7199999999975,3.1193599999999986,0.0364291023343218,0.0365860886657903,0.0404044357553365,2,1.0,1.5161290322580645,0.0038775678574375,,,,REJECT
breakout.compression_expansion,NQ,breakout,False,3317,-34743.26000000001,-10.474302080192931,-112.07503225806455,-15.474302080192931,0.9223856943940876,0.3352426891769671,-44776.03999999997,22.388019999999987,-1.125732664972774,-1.8122979550792029,-1.248578477782657,8,3.0,10.7,0.159689794571405,,,,REJECT
revert.z_60.q90,NQ,reversion,False,5058,-31349.24,-6.1979517595887605,-101.12658064516128,-11.19795175958876,0.9456207058613904,0.6640964808224594,-38733.11999999999,19.366559999999993,-0.9684138353597032,-1.1374668701504085,-1.0740921979432176,7,2.0,16.316129032258065,0.1708934906360861,,,,REJECT
revert.z_60.q95,NQ,reversion,False,3276,11591.720000000025,3.5383760683760808,37.3926451612904,-1.4616239316239192,1.0351551172099072,0.6498778998778999,-11148.799999999996,5.574399999999998,0.5111704638842381,0.5733207911233014,0.5669520478021063,4,2.0,10.567741935483872,0.0826911970959491,1.0,0.21,0.232258064516129,REJECT
revert.vwap.q90,NQ,reversion,False,2118,52378.95999999999,24.73038715769596,168.96438709677415,19.73038715769596,1.1263709091189833,0.8087818696883853,-39960.02,19.98001,0.9904418447261268,0.7811603580544401,1.0985240184447365,6,3.0,6.832258064516129,0.272411517201551,1.0,0.2875,0.4161290322580645,REJECT
revert.vwap.q95,NQ,reversion,False,1246,27675.12000000001,22.21117174959873,89.27458064516132,17.211171749598734,1.1133586589337623,0.7945425361155698,-25508.26,12.75413,0.6233848509479885,0.3810042396127525,0.6914118533535065,4,3.0,4.019354838709678,0.1458048015840277,1.0,0.27,0.2612903225806451,REJECT
revert.z_calm_only,NQ,reversion,False,1668,-175.03999999997723,-0.1049400479616165,-0.5646451612902491,-5.104940047961618,0.9989118047057484,0.6306954436450839,-14657.34,7.32867,-0.011602654632244,-0.0134729584833091,-0.0128687967487516,5,2.0,5.380645161290323,0.0364491378599125,,,,REJECT
session.late_day_continuation,NQ,session,False,2796,-39008.880000000034,-13.95167381974248,-125.83509677419366,-18.95167381974248,0.9123924199233396,0.3047210300429184,-52228.40000000002,26.11420000000001,-1.1280223585286515,-1.769892185441847,-1.2511180346273147,8,4.0,9.019354838709678,0.2292715122514644,,,,REJECT
session.late_day_fade,NQ,session,False,2796,-38048.88000000004,-13.6083261802575,-122.73832258064527,-18.608326180257503,0.9119800912306364,0.6323319027181689,-52560.80000000003,26.280400000000014,-1.1488307846629449,-1.5110097210584528,-1.2741971846210989,8,4.0,9.019354838709678,0.2292715122514644,,,,REJECT
session.opening_drive,NQ,session,False,2975,-53050.50000000005,-17.83210084033612,-171.1306451612905,-22.832100840336125,0.9342593625495936,0.3515966386554622,-60259.300000000025,30.129650000000012,-0.8926034579085145,-1.1615712858912426,-0.9900089971768764,8,3.0,9.596774193548388,0.1887880537909413,,,,REJECT
session.midday_reversion,NQ,session,False,2229,13404.380000000028,6.013629430237787,43.23993548387106,1.013629430237785,1.06073148464879,0.6747420367877972,-13476.76,6.73838,0.6735830401710876,0.8617915214519382,0.7470879304878045,7,2.0,7.190322580645161,0.0728982757198251,1.0,0.25,0.2161290322580645,REJECT
vol.expansion_trend,NQ,volatility,False,5530,-96983.4,-17.537685352622056,-312.84967741935486,-22.53768535262205,0.9207623619086636,0.3672694394213381,-96939.74000000003,48.469870000000014,-1.5017058989164362,-2.4768609971822797,-1.6655798696146629,9,3.0,17.838709677419356,0.3988779803646564,,,,REJECT
vol.contraction_revert,NQ,volatility,False,3349,-16134.219999999965,-4.817623171095841,-52.04587096774181,-9.81762317109584,0.9505042794777296,0.6688563750373245,-21197.519999999997,10.598759999999999,-0.7557915015148516,-0.974932066693074,-0.8382674073913496,6,2.0,10.803225806451612,0.1030360531309297,,,,REJECT
vol.vol_of_vol_shock,NQ,volatility,False,1164,-30304.920000000027,-26.03515463917524,-97.757806451613,-31.035154639175243,0.8898204677863356,0.345360824742268,-55839.16000000002,27.91958000000001,-1.0244671739650584,-1.0542382293976178,-1.1362623688622633,5,4.0,3.7548387096774194,0.0981024667931688,,,,REJECT
volume.heavy_continuation.q80,NQ,volume,False,8339,-155501.42000000007,-18.64749010672741,-501.617483870968,-23.64749010672741,0.8068862037112631,0.4271495383139465,-156548.1,78.27405,-4.736246013981805,-7.759383651179528,-5.2530898520961,9,1.0,26.9,0.1349888623050903,,,,REJECT
volume.heavy_continuation.q90,NQ,volume,False,4418,-82890.03999999998,-18.76189225894069,-267.3872258064516,-23.761892258940687,0.8199525182285768,0.4339067451335446,-84524.84,42.26242,-3.308869028370426,-5.515260737427711,-3.66995005401646,13,1.0,14.251612903225809,0.0665291642603745,,,,REJECT
