arch,describe,is_trades,is_net,is_per_trade,is_per_day,is_median_trade,is_win_rate,is_avg_win,is_avg_loss,is_profit_factor,is_max_dd,is_daily_max_loss,is_consec_losing_trades,is_consec_losing_days,is_mean_mfe,is_mean_mae,is_mfe_mae,is_median_bars,is_trades_per_day,is_t_stat,is_pct_stop,is_pct_target,is_pct_time,is_pct_invalidation,is_pct_flatten,is_pct_reach_1R,is_ambiguous_share,is_avg_mae_of_winners,is_avg_mfe_of_losers,oos_trades,oos_net,oos_per_trade,oos_per_day,oos_median_trade,oos_win_rate,oos_avg_win,oos_avg_loss,oos_profit_factor,oos_max_dd,oos_daily_max_loss,oos_consec_losing_trades,oos_consec_losing_days,oos_mean_mfe,oos_mean_mae,oos_mfe_mae,oos_median_bars,oos_trades_per_day,oos_t_stat,oos_pct_stop,oos_pct_target,oos_pct_time,oos_pct_invalidation,oos_pct_flatten,oos_pct_reach_1R,oos_ambiguous_share,oos_avg_mae_of_winners,oos_avg_mfe_of_losers
A.stop0.75atr_tgt2R,"stop 0.75 ATR, target 2R",178,-490.9975959079856,-2.7584134601572226,-10.229116581416369,-22.92812020460289,0.3202247191011236,52.34942387939144,-28.7183037771347,0.85870226171327,-518.7927365729361,-150.9221994884964,7,4,34.82022471910113,-30.40730337078652,1.1451270207852193,2.0,3.7083333333333335,-1.260492801851372,0.6629213483146067,0.3202247191011236,0.0,0.0,0.016853932584269662,0.4044943820224719,0.0,-11.807017543859649,18.326446280991735,71,56.77705882356801,0.7996768848389861,2.468567774937741,-22.16661125319544,0.38028169014084506,52.40155441886986,-30.865111601952687,1.0418073233357108,-263.14808184141873,-88.66644501278176,6,7,38.04929577464789,-35.26056338028169,1.0790892750149792,4.0,3.0869565217391304,0.1916329827068633,0.6197183098591549,0.38028169014084506,0.0,0.0,0.0,0.4507042253521127,0.0,-11.87037037037037,21.704545454545453
A.stop1atr_tgt0.5R,"stop 1 ATR, target 0.5R",224,-452.2454731458138,-2.01895300511524,-9.421780690537787,12.092659846546011,0.6473214285714286,16.877865772995737,-36.70298747126828,0.8440283302051804,-640.7218414322348,-155.74524296675284,5,9,26.290178571428573,-25.506696428571427,1.030716723549488,2.0,4.666666666666667,-1.101748026140301,0.3392857142857143,0.6473214285714286,0.0,0.0,0.013392857142857142,0.18303571428571427,0.026785714285714284,-14.389655172413793,9.240506329113924,95,-301.77404092068025,-3.176568851796634,-13.120610474812185,12.951355498721822,0.6631578947368421,16.410810295133125,-41.7392215473146,0.7740628974577032,-332.9627877237537,-105.57751918158115,4,4,24.50526315789474,-28.305263157894736,0.8657493492004463,2.0,4.130434782608695,-1.2460693394978308,0.3368421052631579,0.6631578947368421,0.0,0.0,0.0,0.16842105263157894,0.07368421052631578,-11.087301587301587,13.109375
A.stop1atr_tgt0.75R,"stop 1 ATR, target 0.75R",207,-442.147416879764,-2.1359778593225314,-9.211404518328413,13.233005115086852,0.5652173913043478,25.328429405207267,-37.83970730321126,0.8701694746982122,-727.4331202045591,-198.93626598466187,5,5,29.884057971014492,-29.20048309178744,1.0234097113078005,2.0,4.3125,-0.9269511749148545,0.42028985507246375,0.5652173913043478,0.0,0.0,0.014492753623188406,0.2946859903381642,0.004830917874396135,-15.196581196581196,12.883333333333333,86,-197.35030690537843,-2.294771010527656,-8.580448126320801,17.576195652172174,0.5930232558139535,25.000889122912422,-42.06844720496892,0.8659665242735527,-332.1790281329959,-97.20198209719965,4,4,28.813953488372093,-31.523255813953487,0.9140538546661748,2.0,3.739130434782609,-0.6323204407917745,0.4069767441860465,0.5930232558139535,0.0,0.0,0.0,0.313953488372093,0.011627906976744186,-12.284313725490197,16.185714285714287
A.stop1atr_tgt1R,"stop 1 ATR, target 1R",188,-563.6822506393868,-2.9983098438265254,-11.743380221653888,-7.785856777495356,0.48404255319148937,34.00656755009722,-37.71422574946634,0.8459160407616562,-752.9192327365719,-198.93626598466187,6,6,33.316489361702125,-31.295212765957448,1.0645874054559359,3.0,3.9166666666666665,-1.226814093501214,0.5,0.48404255319148937,0.0,0.0,0.015957446808510637,0.48936170212765956,0.005319148936170213,-14.796703296703297,15.3659793814433,75,-204.35038363169585,-2.7246717817559447,-8.8847992883346,22.474373401536724,0.5066666666666667,34.94953829586801,-41.417103753369744,0.86664969684299,-372.58797953965257,-115.92859335039509,6,7,32.946666666666665,-35.66,0.9239110114040008,2.0,3.260869565217391,-0.650601974606143,0.49333333333333335,0.5066666666666667,0.0,0.0,0.0,0.5333333333333333,0.02666666666666667,-13.605263157894736,19.37837837837838
A.stop1atr_tgt1.5R,"stop 1 ATR, target 1.5R",169,-392.23370843992575,-2.3209095173960104,-8.171535592498449,-25.71488491048396,0.39644970414201186,51.465326564110306,-37.65108419838544,0.8978667255940054,-618.6094884910527,-198.93626598466187,6,3,38.55029585798817,-34.603550295857985,1.1140560875512997,4.0,3.5208333333333335,-0.8858689402278278,0.5857988165680473,0.39644970414201186,0.0,0.0,0.01775147928994083,0.47928994082840237,0.005917159763313609,-15.522388059701493,19.230392156862745,68,99.55470588238597,1.464039792388029,4.3284654731472125,-26.996214833760604,0.45588235294117646,52.64475950829246,-41.417103753369744,1.064965134756243,-363.3513043478241,-115.92859335039509,6,4,42.11029411764706,-38.94117647058823,1.0813821752265862,4.0,2.9565217391304346,0.23489907986966146,0.5441176470588235,0.45588235294117646,0.0,0.0,0.0,0.5294117647058824,0.0,-15.564516129032258,21.986486486486488
A.stop1atr_tgt2R,"stop 1 ATR, target 2R",158,-141.7318670076616,-0.8970371329598836,-2.952747229326284,-28.032020460358325,0.34177215189873417,69.3831069432611,-37.3886504033054,0.9635502646168065,-559.0074168797858,-198.93626598466187,8,9,43.901898734177216,-36.5126582278481,1.202374761657133,4.0,3.2916666666666665,-0.2582015872464446,0.6392405063291139,0.33544303797468356,0.0,0.0,0.02531645569620253,0.4936708860759494,0.0,-15.601851851851851,22.673076923076923,62,145.48531969309943,2.3465374144048297,6.325448682308666,-28.982148337598773,0.3870967741935484,71.39135976129602,-41.26071880468435,1.0927894897487966,-435.5008695652234,-115.92859335039509,10,7,47.943548387096776,-41.82258064516129,1.1463555726957193,5.0,2.6956521739130435,0.32842492598986617,0.6129032258064516,0.3870967741935484,0.0,0.0,0.0,0.4838709677419355,0.0,-16.583333333333332,23.57894736842105
A.stop1.25atr_tgt0.5R,"stop 1.25 ATR, target 0.5R",215,150.79303069055052,0.701362933444421,3.1415214727197998,17.404040920716653,0.6837209302325581,21.579809054056625,-44.43292500376136,1.0499076882467442,-372.6290025575471,-120.26544757032883,4,6,29.29767441860465,-28.59767441860465,1.0244775148410181,2.0,4.479166666666667,0.26106700790584336,0.3023255813953488,0.6837209302325581,0.0,0.0,0.013953488372093023,0.24186046511627907,0.009302325581395349,-17.367346938775512,9.764705882352942,92,-516.4960741687848,-5.614087762704183,-22.45635105081673,16.0069820971851,0.6413043478260869,20.62031600849612,-52.51802177788048,0.7019804696161476,-559.7820076726192,-146.9791560102254,4,4,26.494565217391305,-33.54347826086956,0.7898574206092029,2.0,4.0,-1.5402452295262448,0.358695652173913,0.6413043478260869,0.0,0.0,0.0,0.20652173913043478,0.021739130434782608,-12.135593220338983,15.045454545454545
A.stop1.25atr_tgt0.75R,"stop 1.25 ATR, target 0.75R",189,-170.34534526862825,-0.9012981231144351,-3.54886135976308,17.64860613810859,0.5714285714285714,32.474506606989976,-45.40237109658699,0.953680195480104,-497.9345620205017,-185.2127493606205,6,4,35.423280423280424,-33.75396825396825,1.0494552864644564,3.0,3.9375,-0.2906840345065872,0.4126984126984127,0.5714285714285714,0.0,0.0,0.015873015873015872,0.4708994708994709,0.005291005291005291,-18.34259259259259,14.777777777777779,75,-385.66839833760616,-5.142245311168082,-16.768191232069825,20.96222506393795,0.56,32.08157905553452,-52.51802177788048,0.7774683667413396,-514.3700799232729,-143.1907416879793,6,4,32.72666666666667,-40.06,0.8169412547844899,3.0,3.260869565217391,-1.0679616267023608,0.44,0.56,0.0,0.0,0.0,0.49333333333333335,0.013333333333333334,-14.94047619047619,18.560606060606062
A.stop1.25atr_tgt1R,"stop 1.25 ATR, target 1R",170,119.89539641946769,0.7052670377615746,2.497820758738912,15.37798593350206,0.5176470588235295,43.690424174611096,-45.425145499345234,1.0321878766628558,-357.34420716111566,-185.2127493606205,6,4,39.879411764705885,-36.161764705882355,1.1028060187067914,3.0,3.5416666666666665,0.19768981679760417,0.4647058823529412,0.5176470588235295,0.0,0.0,0.01764705882352941,0.5529411764705883,0.0058823529411764705,-18.863636363636363,17.0609756097561,68,-360.79216112532674,-5.305767075372452,-15.686615701101163,-8.841483375958632,0.5,41.83614374905888,-52.447677899803786,0.7976738994809796,-565.077647058818,-145.2591560102254,6,7,39.0514705882353,-44.36764705882353,0.8801789857474313,4.0,2.9565217391304346,-0.8576353902811682,0.5,0.4852941176470588,0.0,0.0,0.014705882352941176,0.5588235294117647,0.0,-15.794117647058824,21.941176470588236
A.stop1.25atr_tgt1.5R,"stop 1.25 ATR, target 1.5R",149,154.79320971864797,1.038880602138577,3.2248585358051756,-26.641675191813846,0.40939597315436244,67.0762611630539,-44.73703092304136,1.039318964859978,-426.7993989769783,-185.2127493606205,6,10,47.72818791946309,-40.43624161073826,1.180331950207469,5.0,3.1041666666666665,0.24180787575676338,0.5704697986577181,0.40268456375838924,0.0,0.0,0.026845637583892617,0.5637583892617449,0.0,-20.401639344262296,23.289772727272727,63,-12.73563938615493,-0.2021530061294433,-0.553723451571951,-34.66757033247879,0.4444444444444444,64.37315628425326,-51.8624004384356,0.9929838301359586,-569.5884143222388,-143.1907416879793,9,7,48.095238095238095,-46.93650793650794,1.0246871829556983,6.0,2.739130434782609,-0.024577021920302373,0.5555555555555556,0.42857142857142855,0.0,0.0,0.015873015873015872,0.5238095238095238,0.0,-16.75,23.271428571428572
A.stop1.25atr_tgt2R,"stop 1.25 ATR, target 2R",136,349.88210997441456,2.5726625733412836,7.289210624466977,-32.31542838874404,0.34558823529411764,92.14224628611872,-44.72812882554119,1.087892334552323,-466.1008312020465,-185.2127493606205,9,9,55.091911764705884,-43.54779411764706,1.2650907555930773,7.0,2.8333333333333335,0.4594072714234008,0.6323529411764706,0.3382352941176471,0.0,0.0,0.029411764705882353,0.5735294117647058,0.0,-23.351063829787233,27.876404494382022,55,-77.73682864447758,-1.413396884445047,-3.3798621149772874,-35.79768542199483,0.36363636363636365,86.87235933503841,-51.8624004384356,0.9571741333179974,-629.8121483375842,-212.72873401533812,11,7,54.36363636363637,-52.04545454545455,1.0445414847161572,7.0,2.391304347826087,-0.1495654759473592,0.6363636363636364,0.34545454545454546,0.0,0.0,0.01818181818181818,0.4909090909090909,0.0,-19.05,27.814285714285713
A.stop1.5atr_tgt0.5R,"stop 1.5 ATR, target 0.5R",203,-529.981930946251,-2.6107484283066555,-11.041290228046895,18.99898976981902,0.645320197044335,25.724492981394796,-54.165145993180126,0.8641033820354134,-807.2170204603692,-198.03439897698553,4,4,31.958128078817733,-34.5,0.9263225530092096,3.0,4.229166666666667,-0.8499040511729236,0.3399014778325123,0.645320197044335,0.0,0.0,0.014778325123152709,0.32019704433497537,0.0,-19.3206106870229,12.38888888888889,86,-528.3253708440188,-6.1433182656281256,-22.970668297566025,19.552378516623577,0.6511627906976745,24.809914139568583,-63.92268542199532,0.7244977181646867,-767.2721227621571,-174.6549872122865,4,4,29.976744186046513,-38.54651162790697,0.7776772247360484,3.0,3.739130434782609,-1.2176442427968572,0.3372093023255814,0.6511627906976745,0.0,0.0,0.011627906976744186,0.32558139534883723,0.0,-14.8125,15.983333333333333
A.stop1.5atr_tgt0.75R,"stop 1.5 ATR, target 0.75R",172,-373.7867710998214,-2.1731789017431478,-7.787224397912943,21.11591751917993,0.5581395348837209,39.178572370523646,-54.4069699825012,0.9096026301457811,-614.2130051151886,-221.2232992327446,6,6,38.3343023255814,-38.88953488372093,0.9857228285244433,4.0,3.5833333333333335,-0.5905848297556067,0.42441860465116277,0.5581395348837209,0.0,0.0,0.01744186046511628,0.5755813953488372,0.0,-20.010416666666668,15.80921052631579,70,-451.4003196930702,-6.448575995615288,-19.62610085622044,25.498670076726995,0.5571428571428572,38.735513476294486,-63.293075653824374,0.7699384887708408,-760.6760485933432,-193.69186061381595,6,7,38.31428571428572,-45.364285714285714,0.8445914029286727,4.0,3.0434782608695654,-0.9631296864682029,0.44285714285714284,0.5571428571428572,0.0,0.0,0.0,0.5714285714285714,0.0,-16.871794871794872,20.20967741935484
A.stop1.5atr_tgt1R,"stop 1.5 ATR, target 1R",157,-270.50035805629784,-1.7229322169190946,-5.635424126172871,-1.72,0.49044585987261147,52.908832165276955,-54.30600543478279,0.9377370062733792,-553.278618925851,-221.2232992327446,6,7,44.12101910828026,-43.1656050955414,1.022133687472333,5.0,3.2708333333333335,-0.43879723270808785,0.49044585987261147,0.49044585987261147,0.0,0.0,0.01910828025477707,0.5605095541401274,0.0,-22.357142857142858,18.7125,67,-431.88514066494304,-6.446046875596164,-18.77761481151926,-38.01156010230508,0.4925373134328358,51.16853367434036,-62.366080938769834,0.7963235151864787,-671.9011764705873,-172.93498721227922,6,7,43.723880597014926,-49.67164179104478,0.8802584134615384,5.0,2.9130434782608696,-0.8449843048336273,0.5074626865671642,0.47761194029850745,0.0,0.0,0.014925373134328358,0.5671641791044776,0.0,-16.757575757575758,22.91176470588235
A.stop1.5atr_tgt1.5R,"stop 1.5 ATR, target 1.5R",134,-111.8150383631914,-0.8344405847999359,-2.3294799658998167,-34.74973145780197,0.39552238805970147,80.48269748588508,-54.04195068043336,0.9744562778544391,-654.6919181585887,-221.2232992327446,7,5,54.30597014925373,-47.82462686567164,1.1355231333385347,7.0,2.7916666666666665,-0.15412839972392894,0.582089552238806,0.3880597014925373,0.0,0.0,0.029850746268656716,0.5895522388059702,0.0,-24.650943396226417,26.69753086419753,56,-308.7630946291614,-5.513626689806453,-13.424482375180924,-42.61322250639088,0.4107142857142857,77.11617813855253,-63.10409672169302,0.8517297941167034,-800.8233375959214,-254.24248081841884,11,7,56.285714285714285,-56.151785714285715,1.0023851168707267,8.5,2.4347826086956523,-0.5377716209795731,0.5892857142857143,0.39285714285714285,0.0,0.0,0.017857142857142856,0.5178571428571429,0.0,-19.217391304347824,28.62121212121212
A.stop1.5atr_tgt2R,"stop 1.5 ATR, target 2R",122,92.37739130432226,0.7571917320026414,1.924528985506721,-38.60427109974145,0.3442622950819672,103.51973937401006,-53.19314578005126,1.0217080109546193,-628.573350383635,-370.2687979539711,10,7,63.34836065573771,-49.34836065573771,1.283697367328295,9.0,2.5416666666666665,0.1090466859447802,0.6311475409836066,0.3360655737704918,0.0,0.0,0.03278688524590164,0.6147540983606558,0.0,-24.55952380952381,35.38125,52,-78.65227621484277,-1.512543773362361,-3.4196641832540373,-43.43898976981902,0.38461538461538464,98.28856777493608,-63.888238491048895,0.9615283862919745,-750.6145780051272,-254.24248081841884,11,7,60.66346153846154,-58.80769230769231,1.0315565729234795,10.5,2.260869565217391,-0.13002915345175012,0.6153846153846154,0.34615384615384615,0.0,0.0,0.038461538461538464,0.5,0.0,-19.85,28.84375
C.structural_tgt0.5R,"stop at signal-bar extreme, target 0.5R",239,-1258.5800000130093,-5.266025104656943,-26.220416666937695,-5.22,0.2301255230125523,6.743636363636361,-8.855869565288094,0.2276186267993708,-1246.9800000090079,-115.89,16,28,19.497907949790793,-18.46234309623431,1.0560906515580735,1.0,4.979166666666667,-6.779850611349157,0.7364016736401674,0.2510460251046025,0.0,0.0,0.012552301255230125,0.12552301255230125,0.6150627615062761,-8.6,14.605978260869565,104,-636.1300000100043,-6.116634615480811,-27.657826087391506,-4.22,0.25,3.9915384615384615,-9.486025641153905,0.14026030192671643,-605.4300000080036,-120.22,11,21,18.620192307692307,-18.08653846153846,1.029505582137161,1.0,4.521739130434782,-4.72789077442921,0.7115384615384616,0.28846153846153844,0.0,0.0,0.0,0.10576923076923077,0.625,-4.884615384615385,16.365384615384617
C.structural_tgt0.75R,"stop at signal-bar extreme, target 0.75R",238,-1164.3600000125073,-4.892268907615577,-24.257500000260563,-5.22,0.22268907563025211,10.301226415094337,-9.245000000067606,0.3192171078572829,-1152.7600000085056,-105.515,16,16,20.096638655462186,-18.930672268907564,1.0615913883031851,1.0,4.958333333333333,-6.613367134221222,0.7521008403361344,0.23529411764705882,0.0,0.0,0.012605042016806723,0.13865546218487396,0.5672268907563025,-8.084905660377359,14.602702702702702,104,-559.7550000100043,-5.382259615480811,-24.33717391347846,-4.22,0.25961538461538464,6.613333333333334,-9.588506493636421,0.241847991707578,-536.0550000080036,-120.22,11,13,18.620192307692307,-18.08653846153846,1.029505582137161,1.0,4.521739130434782,-4.005540271602321,0.7115384615384616,0.28846153846153844,0.0,0.0,0.0,0.10576923076923077,0.5865384615384616,-4.777777777777778,15.902597402597403
C.structural_tgt1R,"stop at signal-bar extreme, target 1R",236,-1018.9200000120052,-4.317457627169514,-21.22750000025011,-5.72,0.211864406779661,14.43,-9.357096774258093,0.41455510738501233,-1007.3200000080036,-101.74,16,16,20.574152542372882,-19.152542372881356,1.0742256637168142,1.0,4.916666666666667,-5.830985038201189,0.7627118644067796,0.2245762711864407,0.0,0.0,0.012711864406779662,0.1483050847457627,0.5254237288135594,-8.15,14.688172043010752,104,-483.3800000100043,-4.647884615480811,-21.016521739565412,-4.22,0.27884615384615385,8.762758620689656,-9.833333333466726,0.34456949152074956,-466.6800000080036,-120.22,11,8,18.740384615384617,-18.08653846153846,1.0361509835194047,1.0,4.521739130434782,-3.299225605961176,0.7115384615384616,0.28846153846153844,0.0,0.0,0.0,0.10576923076923077,0.5865384615384616,-4.517241379310345,15.72
