symbol,strategy,kind,base_per_trade,gated_per_trade,base_per_trade_norm,gated_per_trade_norm,base_capture,gated_capture,ctrl_norm_p50,ctrl_norm_p95,ctrl_norm_pctile,was_phase3_winner
NQ,trend.ret_30.q80,trend,-14.016391238343097,-2.404826147426979,-0.004889427938275694,-0.0030341827456122905,-7.31487903438228e-05,0.003048406912704118,-0.004431433948349989,-0.003626533053498712,1.0,True
NQ,trend.ret_30.q90,trend,-20.649475545079547,-13.63176470588235,-0.004613787393237481,-0.0030398967093309,-0.0015646459145561731,2.9351923506091922e-05,-0.00488535946449946,-0.003731501477841806,1.0,True
NQ,trend.ret_60.q80,trend,-14.449229030070097,-1.7472727272727233,-0.004956864475069981,-0.003006453204037275,-0.00019864258662175734,0.003083349678782799,-0.004584173151652076,-0.003636153155763208,1.0,True
NQ,trend.ret_60.q90,trend,-21.985166716731747,-14.564785748675973,-0.004725501047931793,-0.003216825392375582,-0.0018330818424234128,-0.0001518845565553328,-0.0049532102519902425,-0.0038305446871408477,1.0,True
NQ,trend.ma_agree.30_120,trend,-32.707289048473996,-30.51763984121257,-0.0069244150362461,-0.0062040287463900525,-0.005659971539080748,-0.004321721308611248,-0.006771400162161318,-0.005701439193421545,0.775,False
NQ,trend.multi_horizon_agree,trend,-18.289337561663135,-6.866611944523066,-0.005332263704061116,-0.0034648611839517333,-0.0017176543934404997,0.0022759388305914133,-0.005391465270718964,-0.004254629156244271,1.0,False
NQ,trend.accel_confirm,trend,-22.6255137983636,-26.077415681121337,-0.004084892905828933,-0.004168842978991771,-0.00428054641475297,-0.0052320968408478144,-0.004171185843003911,-0.0032697685127301888,0.5,False
NQ,breakout.opening_range.q90,breakout,-99.63191082802545,-103.96382352941175,-0.01866626414791317,-0.01899226500479969,-0.0036181807627405564,-0.003428584207640166,-0.015603697282265227,-0.013024100789502778,0.1,False
NQ,breakout.opening_range.q95,breakout,-70.9684984025559,-69.82651162790698,-0.014419476036027315,-0.01643390483155606,-0.0012012507772058974,-0.0011228275499949448,-0.010820493195174155,-0.008614785969557228,0.0,False
NQ,breakout.range_expansion.q80,breakout,-5.311959852086628,11.338577075098812,-0.0030782436821206773,-0.0005996387785745062,0.001075756980927963,0.002960817045733558,-0.0026734484285447398,-0.0008478376370892216,0.975,False
NQ,breakout.range_expansion.q90,breakout,-8.865130533484672,12.147835051546387,-0.004100674828001246,-8.880789345278496e-05,0.0002905818919162869,0.0014060969070061177,-0.003390182046132278,-0.0018459769745258624,0.975,False
NQ,breakout.failed_reversal,breakout,1.5357894736842164,5.290351758793971,-0.000592766030163111,-0.0003070910328053104,0.0002929307062851253,0.0003536207927162503,0.0005859025638529738,0.0017482062435854452,0.25,False
NQ,breakout.compression_expansion,breakout,-0.4881113084665491,17.716350364963493,-0.0029935928223346823,0.0003054723518682834,0.0015065966451548824,0.0020103738083934388,-0.002385409910314585,-0.0003320258292232462,1.0,False
NQ,revert.z_60.q90,reversion,-7.0716421424367235,-14.15359022556389,0.00042170505181815955,-0.00047064635038155295,0.001529749243933432,-7.407866408680342e-05,0.0008169777020710243,0.0016799331738754013,0.0,False
NQ,revert.z_60.q95,reversion,4.551018518518518,-1.5731292008961881,0.0018602354393930786,0.0008732258709047824,0.0026571801409758385,0.0015230386974827697,0.002104837315144891,0.003298129971251683,0.125,False
NQ,revert.vwap.q90,reversion,25.538727490996404,12.730040160642568,0.00878098231504879,0.007627628956841088,0.004395973863735883,0.003075429318471631,0.008767310997991103,0.010629828794060688,0.175,False
NQ,revert.vwap.q95,reversion,10.676415279138105,3.0548623853210986,0.006787199773874927,0.006423227982219943,0.0016757112797112434,0.0013678928160934267,0.006045475232080363,0.008157016323136913,0.65,False
NQ,revert.z_calm_only,reversion,2.004224841341795,2.214236311239193,0.0007126990101230152,0.0006654479460294881,0.0011683673760421605,0.0010343058759289534,0.0011956422888091736,0.0021645080195841554,0.3,False
NQ,session.late_day_continuation,session,-2.6722484881803132,-4.74476510067114,-0.002087251982470674,-0.002713615253937552,0.0013559369806393942,0.0010035562417797144,-0.0024177094004966724,-0.0001824566742587811,0.4,False
NQ,session.late_day_fade,session,-24.887751511819676,-22.815234899328885,-0.002141527485838269,-0.000886937182251793,-0.0013559369806393942,-0.0010035562417797144,-0.0017351040033326533,0.0001493749953922532,0.75,False
NQ,session.opening_drive,session,-22.69206030150754,-25.55215189873419,-0.007239833066044254,-0.006339025578907237,-0.0011901777951813738,-0.0013865289580020565,-0.0052974910785531,-0.002238020017367225,0.275,False
NQ,session.midday_reversion,session,12.079323158593208,15.932041884816728,0.0020260378644248967,0.0019199966954641687,0.002615237027246582,0.0026440026332868517,0.0027556412049003867,0.0042727852804361355,0.175,False
NQ,vol.expansion_trend,volatility,-11.028914223669922,-5.222268461852302,-0.0046854677522162515,-0.00326896884251918,0.0006801495322336184,0.0019544653826675494,-0.003720929988712353,-0.0020028505305826286,0.75,False
NQ,vol.contraction_revert,volatility,-1.7707366563740632,-5.055985663082435,0.00015457230000411073,-0.0001763528087531958,0.0018270420340463999,0.001134009235140123,0.00037900847430136697,0.0015466792153459741,0.175,False
NQ,vol.vol_of_vol_shock,volatility,-14.761661272923424,0.30970976253297733,-0.005666378202902932,-0.0039001611906263243,-6.106917358979702e-05,0.0009951699779208309,-0.005192191085210361,-0.002030378792112305,0.65,False
NQ,volume.heavy_continuation.q80,volume,-14.922857142857145,-13.085908962397514,-0.002890455132049769,-0.002499885234599749,-0.00042412876603023866,0.00022875864192843068,-0.002675423738236273,-0.002132753266961806,0.7,False
NQ,volume.heavy_continuation.q90,volume,-9.901201536849458,-4.526058558558556,-0.002431973576662625,-0.001297318435339463,0.000745245244741424,0.0015314249613416532,-0.002028306975439484,-0.0009175837601324935,0.875,False
NQ,volume.climax_reversion,volume,-15.52436090225567,-31.712330827067696,0.0006796182153354931,-0.0008544469564430663,-7.78464190814995e-05,-0.0006667079767812308,0.0024024065871531167,0.004386490825716987,0.025,False
MES,trend.ret_15.q80,trend,-2.843332322619771,-2.437634709587124,-0.011861397267637646,-0.008336056472197194,-0.0025027504846697004,0.00016725960951661972,-0.010736093435027133,-0.009099314742451122,0.975,False
MES,trend.ret_15.q90,trend,-2.7444654605263175,-1.7183026188166823,-0.011957297138142052,-0.007302564260215177,-0.0013568210749376854,0.0028027285919001144,-0.010649273817093782,-0.00900599712335689,1.0,True
MES,trend.ret_30.q80,trend,-2.8579835516296077,-2.521272984441302,-0.011863447306342154,-0.008559141024065804,-0.0025891398415009387,-0.0002621907392422688,-0.010935111112084948,-0.00930939178054328,0.975,False
MES,trend.ret_30.q90,trend,-2.75051787916153,-1.7292143549951497,-0.011970286454297948,-0.007341743266536293,-0.00138731143617224,0.0027620438220176935,-0.010666263689759328,-0.00903104895921502,1.0,True
MES,trend.ret_60.q80,trend,-2.992137046307887,-2.79828282828283,-0.012112531944622145,-0.009067506302380282,-0.0033920526873442132,-0.0016454729152445833,-0.011401312298942194,-0.00986719293072252,0.975,False
MES,trend.ret_60.q90,trend,-2.823249475890986,-1.8505748265609507,-0.012157887833272523,-0.007474381828389,-0.0017125419560074906,0.002260264993467834,-0.010941818257824401,-0.009336034983473648,1.0,True
MES,trend.ma_agree.30_120,trend,-3.7934139447236164,-4.675464868701208,-0.01463460561338793,-0.014036981347750862,-0.008565250643473665,-0.011238037547522072,-0.014078115442078792,-0.011863050430699512,0.5,False
MES,trend.multi_horizon_agree,trend,-3.032577447335811,-3.0357599551318,-0.012608166300620767,-0.01019812140237621,-0.004614208000162615,-0.0036480676994570843,-0.011839273286095532,-0.010485972885662347,1.0,False
MES,trend.accel_confirm,trend,-3.34371083868457,-4.286904453091225,-0.011384539169866854,-0.0115367124993931,-0.009126781462876715,-0.015198021816077717,-0.011260062554615839,-0.00974826523051714,0.4,False
MES,breakout.opening_range.q90,breakout,-5.564758064516127,-8.68761658031088,-0.020440367304593112,-0.027406777211612644,-0.0031201802996694335,-0.004339708787458241,-0.020451519657992814,-0.015318038516845527,0.025,False
