conditioner,symbol,bucket,target,n,mean,t,hit,passes_bonf
on_vol_ratio,NQ,0-10,signed_cont,29,-0.03282922043723985,-0.2045929727249163,0.41379310344827586,False
on_vol_ratio,NQ,10-25,signed_cont,31,0.03808906764619897,0.2683241047559594,0.5161290322580645,False
on_vol_ratio,NQ,25-50,signed_cont,59,0.1396281174923154,1.2314598040736322,0.559322033898305,False
on_vol_ratio,NQ,50-75,signed_cont,54,-0.1282949975763263,-0.8549997535221675,0.5185185185185185,False
on_vol_ratio,NQ,75-90,signed_cont,33,0.20979706106308635,1.2723813530175723,0.42424242424242425,False
on_vol_ratio,NQ,90-100,signed_cont,26,0.09995006967055259,0.5472163927422461,0.5769230769230769,False
on_close_loc,ES,0-10,rth_ret_pct,37,0.05419049659971051,0.46999787188519854,0.5675675675675675,False
on_close_loc,ES,10-25,rth_ret_pct,34,-0.06093055093952624,-0.6565286571137487,0.5,False
on_close_loc,ES,25-50,rth_ret_pct,59,0.010264695744744808,0.15523015613139782,0.4915254237288136,False
on_close_loc,ES,50-75,rth_ret_pct,65,-0.047194525888641495,-0.5630523426419549,0.47692307692307695,False
on_close_loc,ES,75-90,rth_ret_pct,25,0.2340504639125807,1.632825030910345,0.64,False
on_close_loc,ES,90-100,rth_ret_pct,32,-0.11656217933210117,-0.9367684915998417,0.4375,False
on_close_loc,MES,0-10,rth_ret_pct,22,-0.04398005107538991,-0.2956430388954678,0.5454545454545454,False
on_close_loc,MES,10-25,rth_ret_pct,34,-0.006766160239827823,-0.06512436806391574,0.5,False
on_close_loc,MES,25-50,rth_ret_pct,44,-0.006722025514616597,-0.08585889772001985,0.4772727272727273,False
on_close_loc,MES,50-75,rth_ret_pct,52,-0.03795099000768764,-0.47192104472012464,0.5,False
on_close_loc,MES,75-90,rth_ret_pct,15,0.28774390059962784,1.2084204939532384,0.5333333333333333,False
on_close_loc,MES,90-100,rth_ret_pct,24,-0.015858385773688533,-0.15045301013302423,0.4583333333333333,False
on_close_loc,MNQ,0-10,rth_ret_pct,23,0.019406174169845768,0.09310002365192144,0.5217391304347826,False
on_close_loc,MNQ,10-25,rth_ret_pct,33,-0.016686330792775428,-0.11454553878592101,0.5151515151515151,False
on_close_loc,MNQ,25-50,rth_ret_pct,47,-0.10597169302188734,-0.8408003761593364,0.48936170212765956,False
on_close_loc,MNQ,50-75,rth_ret_pct,44,0.06686702076984544,0.4894814923819533,0.4772727272727273,False
on_close_loc,MNQ,75-90,rth_ret_pct,22,0.2755027283553787,1.2864281747470998,0.5909090909090909,False
on_close_loc,MNQ,90-100,rth_ret_pct,22,-0.08888924934035854,-0.5234865317317636,0.45454545454545453,False
on_close_loc,NQ,0-10,rth_ret_pct,36,0.10574724787203138,0.6655472380341003,0.5555555555555556,False
on_close_loc,NQ,10-25,rth_ret_pct,37,-0.10480944369990144,-0.7871902899707018,0.4864864864864865,False
on_close_loc,NQ,25-50,rth_ret_pct,58,-0.06681937159030332,-0.548424634393222,0.5172413793103449,False
on_close_loc,NQ,50-75,rth_ret_pct,61,0.054301134954662336,0.4918596878219856,0.5081967213114754,False
on_close_loc,NQ,75-90,rth_ret_pct,35,0.054706090223984406,0.29179670124219437,0.5428571428571428,False
on_close_loc,NQ,90-100,rth_ret_pct,25,-0.047838115547551574,-0.3166443075639367,0.52,False
on_ret_over_vol,ES,0-10,signed_cont,26,0.037018115584866236,0.27240693233344615,0.46153846153846156,False
on_ret_over_vol,ES,10-25,signed_cont,48,-0.04158478184198497,-0.5390661921830542,0.4375,False
on_ret_over_vol,ES,25-50,signed_cont,65,-0.10725685985364643,-1.3844220287133826,0.4307692307692308,False
on_ret_over_vol,ES,50-75,signed_cont,55,-0.019196087165786416,-0.21930624615735608,0.43636363636363634,False
on_ret_over_vol,ES,75-90,signed_cont,29,0.19414353203796758,1.8891080219127498,0.7241379310344828,False
on_ret_over_vol,ES,90-100,signed_cont,29,-0.06291889738796962,-0.42867481825384146,0.4482758620689655,False
