h,title,panel,sym,pred_sign,n,r,t,rho,lo,hi,signed_ok,passes_bonf,passes_naive
G,Heavy overnight volume predicts a large regular-session range,futures,MNQ,1,222,0.369328944839279,5.894803623570943,0.4766892371745973,0.24980169983793413,0.47776974556425683,True,True,True
G,Heavy overnight volume predicts a large regular-session range,futures,NQ,1,283,0.3188991389723807,5.640206433251299,0.4527108519850778,0.21011220986405785,0.4198859412183242,True,True,True
H,A large overnight excursion reverses,futures,ES,-1,312,-0.024081157400890656,-0.4241155187563191,-0.04519427338222731,-0.1347615256507721,0.08719271405208501,True,False,False
H,A large overnight excursion reverses,futures,MES,-1,251,-0.020271741205604238,-0.319948427775746,-0.045012331625877436,-0.14373240098485712,0.10381026953152421,True,False,False
H,A large overnight excursion reverses,futures,MNQ,-1,251,-0.028079350337820434,-0.4432594530733657,-0.026780497059381517,-0.15137448670588588,0.0960761286561865,True,False,False
H,A large overnight excursion reverses,futures,NQ,-1,312,-0.04588692016315678,-0.8087745299961574,-0.05101153020366523,-0.1561320967884766,0.06548747836494709,True,False,False
I,Opening outside the overnight range continues in that direction,futures,ES,1,312,-0.04103738101340768,-0.7231468222838798,-0.015457942619789732,-0.15138825104996453,0.0703237909563348,False,False,False
I,Opening outside the overnight range continues in that direction,futures,MES,1,251,-0.03582187627086722,-0.5656226950794404,-0.048100515002122174,-0.15893834172387342,0.08839162527468546,False,False,False
I,Opening outside the overnight range continues in that direction,futures,MNQ,1,251,-0.05622152660607701,-0.8885661539132396,-0.04804778024464728,-0.17879827393250733,0.06807380348777467,False,False,False
I,Opening outside the overnight range continues in that direction,futures,NQ,1,312,-0.06736314962189006,-1.1887508585739666,-0.07993473484105078,-0.17707930619346737,0.044006742215228094,False,False,False
J,Nasdaq's overnight move predicts the S&P's regular session,futures,ES,1,312,0.022809037341626422,0.40169904926283045,0.05133749888380422,-0.08845571636539994,0.13351160732536252,True,False,False
J,Nasdaq's overnight move predicts the S&P's regular session,futures,MES,1,251,0.01821856654746094,0.2875318532254918,0.04286549041927528,-0.10584163526666095,0.14172030597246116,True,False,False
J,Nasdaq's overnight move predicts the S&P's regular session,futures,MNQ,1,251,0.03732291190950041,0.589356245597219,0.044778599886169605,-0.08690012535533101,0.16040306796819334,True,False,False
J,Nasdaq's overnight move predicts the S&P's regular session,futures,NQ,1,312,0.03772709111290133,0.6647272166258416,0.049973566903392365,-0.0736220486548276,0.14814718559604054,True,False,False
