panel,symbol,quintile,n,median_turns,median_eff,median_eff_vol,max_run_over_range,trend day,volatile trend,two-sided chop,late reversal,"opening impulse, fade",late expansion
FUTURES,ES,2,46,9.0,0.5284023262203499,0.8122598279190172,0.7323169750603379,0.32608695652173914,0.13043478260869565,0.30434782608695654,0.08695652173913043,0.10869565217391304,0.043478260869565216
FUTURES,ES,3,46,8.0,0.5236169714017815,0.7997746105890824,0.71669341894061,0.2391304347826087,0.1956521739130435,0.2391304347826087,0.13043478260869565,0.15217391304347827,0.043478260869565216
FUTURES,ES,4,46,10.5,0.46544165054803355,0.7345838219599079,0.7323139974779319,0.2826086956521739,0.10869565217391304,0.391304347826087,0.06521739130434782,0.10869565217391304,0.043478260869565216
FUTURES,ES,5,47,12.0,0.43824701195219123,0.496431081024004,0.7134831460674157,0.2127659574468085,0.14893617021276595,0.425531914893617,0.10638297872340426,0.06382978723404255,0.0425531914893617
FUTURES,MES,1,35,10.0,0.4098360655737705,0.5616363231767313,0.6923076923076923,0.22857142857142856,0.05714285714285714,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0
FUTURES,MES,2,34,8.5,0.5515718499789297,0.9122153921978808,0.7521411483253588,0.35294117647058826,0.14705882352941177,0.2647058823529412,0.11764705882352941,0.08823529411764706,0.029411764705882353
FUTURES,MES,3,34,7.0,0.5994949494949495,0.8682563120930616,0.7432079414838035,0.35294117647058826,0.17647058823529413,0.17647058823529413,0.08823529411764706,0.14705882352941177,0.058823529411764705
FUTURES,MES,4,34,10.5,0.43380151968685243,0.6220076635886597,0.7467938866120218,0.20588235294117646,0.08823529411764706,0.4117647058823529,0.08823529411764706,0.11764705882352941,0.08823529411764706
FUTURES,MES,5,34,12.5,0.35284705930773347,0.4702175812099,0.6883810159312703,0.20588235294117646,0.14705882352941177,0.47058823529411764,0.08823529411764706,0.058823529411764705,0.029411764705882353
FUTURES,MNQ,1,35,11.0,0.444624090541633,0.5915167504994564,0.6603351955307263,0.2,0.17142857142857143,0.42857142857142855,0.05714285714285714,0.11428571428571428,0.02857142857142857
FUTURES,MNQ,2,34,8.0,0.597249527281167,0.9576997457712685,0.6603896844739201,0.38235294117647056,0.14705882352941177,0.17647058823529413,0.08823529411764706,0.17647058823529413,0.029411764705882353
FUTURES,MNQ,3,34,12.5,0.44742662005041056,0.7602686404212189,0.6766918308920824,0.14705882352941177,0.20588235294117646,0.38235294117647056,0.11764705882352941,0.14705882352941177,0.0
FUTURES,MNQ,4,34,9.0,0.5561327265302162,0.7605384461044822,0.7195026126201329,0.2647058823529412,0.20588235294117646,0.23529411764705882,0.11764705882352941,0.11764705882352941,0.058823529411764705
FUTURES,MNQ,5,34,11.0,0.3990345103713746,0.558886965914254,0.6796951124903026,0.2647058823529412,0.058823529411764705,0.4411764705882353,0.058823529411764705,0.14705882352941177,0.029411764705882353
FUTURES,NQ,1,47,10.0,0.4668400520156047,0.7006879080692211,0.6555555555555556,0.2765957446808511,0.1702127659574468,0.2978723404255319,0.0851063829787234,0.1276595744680851,0.0425531914893617
FUTURES,NQ,2,46,10.5,0.466564194965711,0.6605827894569831,0.6860447110748461,0.2826086956521739,0.17391304347826086,0.32608695652173914,0.043478260869565216,0.15217391304347827,0.021739130434782608
FUTURES,NQ,3,46,9.0,0.48364665837033416,0.8671226692854566,0.6625219671691625,0.2826086956521739,0.13043478260869565,0.2826086956521739,0.13043478260869565,0.15217391304347827,0.021739130434782608
FUTURES,NQ,4,46,10.0,0.4760190119388876,0.7468879246309983,0.6907338534107401,0.21739130434782608,0.2391304347826087,0.2608695652173913,0.08695652173913043,0.15217391304347827,0.043478260869565216
FUTURES,NQ,5,47,10.0,0.3866943866943867,0.4878780018767448,0.7065573770491803,0.2553191489361702,0.06382978723404255,0.425531914893617,0.06382978723404255,0.1276595744680851,0.06382978723404255
